tz,total,male,age_under_29,age_30_54,age_55_over,white,black,asian,others,two_or_more,less_high_school,high_school,college,bachelor
172,9414,0.5,0.2060760569364776,0.5526874867219036,0.24123645634161886,0.8643509666454217,0.04578287656681538,0.07340131718716805,0.004992564265986828,0.011472275334608031,0.07541958784788613,0.15498194178882516,0.22466539196940727,0.3388570214574039
173,13624,0.5343511450381679,0.24765120375807398,0.5488843217850852,0.20346447445684088,0.6807839107457428,0.16228714034057545,0.12000880798590723,0.016368173810921902,0.020551967116852612,0.17799471520845567,0.1801967116852613,0.20581327069876687,0.18834409864944215
174,15645,0.4818791946308725,0.2550335570469799,0.5482262703739214,0.19674017257909876,0.6067114093959731,0.2673697666986258,0.09338446788111218,0.013678491530840524,0.018855864493448386,0.14944071588366892,0.17730904442313838,0.2181527644614893,0.20006391818472355
175,11425,0.48463894967177246,0.15413566739606127,0.5702407002188183,0.27562363238512033,0.5506345733041575,0.0650328227571116,0.36691466083150986,0.004814004376367615,0.012603938730853392,0.10100656455142232,0.15334792122538293,0.21978118161925603,0.37172866520787745
176,9362,0.5091860713522751,0.2000640888698996,0.5613116855372784,0.23862422559282204,0.8933988464003418,0.045075838496047856,0.04902798547318949,0.004165776543473617,0.008331553086947234,0.06205938901944029,0.15723136082033753,0.23659474471266823,0.34405041657765434
177,12971,0.45069771027677125,0.26035001156425874,0.5504587155963303,0.189191272839411,0.3148562177164444,0.6155269447228433,0.04201680672268908,0.010562022974327345,0.01703800786369594,0.13113869400971398,0.18996222342147867,0.23436897694857758,0.18418009405597102
178,7102,0.4963390594198817,0.23542664038299072,0.5118276541819206,0.25274570543508873,0.8297662630245002,0.07969586032103633,0.06843142776682624,0.007603491974091805,0.01450295691354548,0.08842579555054914,0.16305266122219092,0.20867361306674176,0.30442128977752747
179,14242,0.507021485746384,0.25937368347142253,0.5789214997893555,0.16170481673922202,0.7157000421289145,0.12961662687824743,0.12371857885128493,0.009830080044937508,0.021134672096615643,0.10237326218227777,0.14871506810841173,0.21064457239151804,0.2788934138463699
180,9863,0.5094798742776032,0.22325864341478252,0.5581466085369563,0.21859474804826118,0.6712967656899523,0.13444185339146306,0.1533002129169624,0.014498631248098956,0.02646253675352327,0.12815573354962992,0.1709419040859779,0.21829058095914022,0.25935313799046944
181,35129,0.49221440974693276,0.1955364513649691,0.638247601696604,0.16621594693842695,0.8015599647015287,0.0909504967405847,0.08101568504654275,0.006718096159867916,0.01975575735147599,0.07722963932932904,0.14002675851860286,0.21483674457001337,0.3723704062170856
