capacity,lat,lon,name,short_name,station_id,empytCount_0,empytCount_1,empytCount_2,empytCount_3,empytCount_4,empytCount_5,empytCount_6,empytCount_7,empytCount_8,empytCount_9,empytCount_10,empytCount_11,empytCount_12,empytCount_13,empytCount_14,empytCount_15,empytCount_16,empytCount_17,empytCount_18,empytCount_19,empytCount_20,empytCount_21,empytCount_22,empytCount_23
43,40.78839,-73.9747,W 87 St & Amsterdam Ave,7458.03,3285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.0,34.0,20.0,15.0,21.0,12.0,1.0,0.0,3.0,0.0,0.0
39,40.7806284,-73.9521667,E 89 St & 3 Ave,7265.10,3286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,39.0,48.0,31.0,44.0,25.0,31.0,13.0,20.0,1.0,0.0,2.0
39,40.778301,-73.9488134,E 88 St & 1 Ave,7235.13,3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,28.0,5.0,23.0,10.0,6.0,13.0,1.0,1.0,0.0,0.0
32,40.79017948095081,-73.97288918495178,W 90 St & Amsterdam Ave,7432.04,3289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,31.0,22.0,29.0,20.0,37.0,8.0,7.0,7.0,3.0,0.0,0.0
35,40.7779453,-73.94604100000002,E 89 St & York Ave,7204.08,3290,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,38.0,42.0,16.0,15.0,41.0,5.0,8.0,0.0,0.0,0.0,12.0
43,40.78578510000001,-73.957481,5 Ave & E 93 St,7372.10,3292,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,10.0,32.0,43.0,16.0,13.0,8.0,5.0,17.0,22.0,66.0,255.0,15.0
24,40.7921,-73.9739,W 92 St & Broadway,7502.01,3293,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,63.0,34.0,14.0,27.0,45.0,10.0,17.0,11.0,0.0,0.0,0.0
38,40.7835016,-73.955327,E 91 St & Park Ave,7344.05,3294,7.0,14.0,2.0,27.0,6.0,0.0,0.0,19.0,0.0,5.0,5.0,4.0,32.0,43.0,51.0,17.0,23.0,24.0,25.0,19.0,19.0,4.0,2.0,3.0
59,40.79127,-73.964839,Central Park W & W 96 St,7499.05,3295,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,10.0,3.0,6.0,4.0,4.0,4.0,0.0,0.0
42,40.78245417527987,-73.94891962409021,E 93 St & 2 Ave,7286.02,3296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,32.0,16.0,48.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0
21,40.66866270000001,-73.97988067,6 St & 7 Ave,3834.10,3297,7.0,4.0,19.0,35.0,24.0,17.0,0.0,37.0,18.0,0.0,0.0,0.0,16.0,20.0,20.0,22.0,14.0,26.0,25.0,14.0,11.0,9.0,17.0,6.0
