is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,station_id,eightd_has_available_keys,id_num
1,1,1,1541428978,9,0,4,1,0,3199,False,
1,1,1,1541435914,5,0,13,0,0,3201,False,
1,1,1,1541435795,14,0,3,1,0,3202,False,
1,1,1,1541429804,16,1,9,0,0,3203,False,
1,1,1,1541436054,0,0,22,0,0,3205,False,
1,1,1,1541427996,0,0,26,0,0,3206,False,
1,1,1,1541424123,0,0,26,0,0,3207,False,
1,1,1,1541434990,4,0,18,0,0,3209,False,
1,1,1,1541436195,4,2,11,1,0,3210,False,
1,1,1,1541429472,2,4,16,0,0,3211,False,
1,1,1,1541434630,1,1,19,1,0,3212,False,
1,1,1,1541435674,0,2,20,0,0,3213,False,
1,1,1,1541428327,6,0,11,4,0,3214,False,
1,1,1,1541404515,4,1,12,1,0,3220,False,
1,1,1,1541428002,16,0,11,0,0,3221,False,
1,1,1,1541433664,3,2,9,0,0,3225,False,
1,1,1,1541436526,0,0,45,0,0,3226,True,
1,1,1,1541437061,5,3,31,0,0,3231,False,
1,1,1,1541436605,11,0,20,0,0,3232,False,
1,1,1,1541436971,27,0,12,0,0,3233,False,
1,1,1,1541437054,6,0,25,0,0,3235,False,
1,1,1,1541435851,0,0,32,1,0,3236,False,
1,1,1,1541434706,8,0,11,0,0,3241,False,
1,1,1,1541436864,24,0,15,0,0,3242,False,
1,1,1,1541436694,14,0,15,0,0,3243,False,
1,1,1,1541437057,24,3,4,0,0,3244,False,
1,1,1,1541424422,2,0,17,0,0,3249,False,
1,1,1,1541436910,6,2,10,1,0,3255,False,
1,1,1,1541436772,3,1,18,0,1,3256,False,
1,1,1,1541436643,24,1,12,0,0,3258,False,
1,0,0,1541413527,20,1,6,0,0,3259,False,
1,1,1,1541437048,23,2,6,0,0,3260,False,
1,1,1,1541436995,14,1,43,1,0,3263,False,
1,1,1,1541428264,3,1,10,0,0,3267,False,
1,1,1,1541423589,0,3,11,0,0,3268,False,
1,1,1,1541433721,4,1,9,0,0,3269,False,
1,1,1,1541435049,4,0,10,0,0,3270,False,
1,1,1,1541430369,6,1,6,1,0,3272,False,
1,1,1,1541425248,16,2,0,0,0,3273,False,
1,1,1,1541432187,3,2,8,1,0,3275,False,
1,1,1,1541436403,2,1,23,0,0,3276,False,
1,1,1,1541435235,1,1,12,0,0,3277,False,
1,1,1,1541429927,4,1,8,1,0,3278,False,
1,1,1,1541431761,7,1,10,0,0,3279,False,
1,1,1,1541429629,3,2,9,0,0,3280,False,
1,1,1,1541424908,3,1,10,0,0,3281,False,
1,1,1,1541436414,11,1,26,0,1,3282,True,
1,1,1,1541436323,4,1,42,0,0,3283,False,
1,1,1,1541424690,0,2,35,1,0,3284,False,
1,1,1,1541436842,1,1,41,0,0,3285,False,
1,1,1,1541435705,0,0,39,0,0,3286,False,
1,1,1,1541436654,3,2,34,0,0,3288,False,
1,1,1,1541435437,1,1,30,0,0,3289,False,
1,1,1,1541427901,0,0,35,0,0,3290,False,
1,1,1,1541433277,1,1,40,1,0,3292,True,
1,1,1,1541437018,1,0,23,0,0,3293,False,
1,1,1,1541429127,0,0,38,0,0,3294,True,
1,1,1,1541436381,8,0,51,0,0,3295,True,
1,1,1,1541436847,0,0,42,0,0,3296,True,
1,1,1,1541431748,1,1,19,0,0,3297,False,
1,1,1,1541436268,22,0,1,0,0,3298,False,
1,1,1,1541430424,12,0,13,0,0,3299,False,
1,1,1,1541436452,2,0,21,2,0,3300,True,
0,0,0,1,0,0,0,0,0,3301,False,
1,1,1,1541427538,0,1,21,0,0,3302,False,
1,1,1,1541431471,10,1,14,0,0,3303,False,
1,1,1,1541435681,18,1,8,0,0,3304,False,
1,1,1,1541432246,1,0,38,0,0,3305,False,
1,1,1,1541425323,2,1,20,0,0,3306,False,
1,1,1,1541436459,2,0,29,0,0,3307,False,
1,1,1,1541429025,0,2,24,1,0,3308,False,
